reference_name,doi,metadata_source,raw_degree,degree,occurrences,degree_definition,degree_calculation
"Prather J, 2023, The Robots are Here: Navigating the Generative AI Revolution in Computing Education, Proceedings Of The 2023 Working Group Reports On Innovation And Technology In Computer Science Education, Iticse-Wgr 2023",10.1145/3623762.3633499,RData file,5391,1.0,110,Weighted co-citation degree: sum of co-citation edge weights connected to the reference.,degree = raw_degree / maximum raw_degree in the full cited-reference co-citation network.
"Sarsa S, 2022, Automatic Generation of Programming Exercises and Code Explanations Using Large Language Models, Icer 2022 - Proceedings Of The 2022 Acm Conference On International Computing Education Research",10.1145/3501385.3543957,RData file,5149,0.9551103691337414,111,Weighted co-citation degree: sum of co-citation edge weights connected to the reference.,degree = raw_degree / maximum raw_degree in the full cited-reference co-citation network.
"Finnie-Ansley J, 2022, The Robots Are Coming: Exploring the Implications of OpenAI Codex on Introductory Programming, Proceedings Of The 24Th Australasian Computing Education Conference",10.1145/3511861.3511863,RData file,5077,0.9417547764793174,110,Weighted co-citation degree: sum of co-citation edge weights connected to the reference.,degree = raw_degree / maximum raw_degree in the full cited-reference co-citation network.
"Becker Ba, 2023, Programming Is Hard - or at Least It Used to Be: Educational Opportunities and Challenges of AI Code Generation, Sigcse 2023 - Proceedings Of The 54Th Acm Technical Symposium On Computer Science Education",10.1145/3545945.3569759,RData file,4924,0.9133741420886663,103,Weighted co-citation degree: sum of co-citation edge weights connected to the reference.,degree = raw_degree / maximum raw_degree in the full cited-reference co-citation network.
"Lau, 2023, From ""Ban It Till We Understand It"" to ""Resistance is Futile"": How University Programming Instructors Plan to Adapt as More Students Use AI Code Generation and Explanation Tools such as ChatGPT and GitHub Copilot, Proceedings of the 2023 ACM Conference on International Computing Education Research V.1",10.1145/3568813.3600138,Crossref DOI API,4525,0.8393618994620664,74,Weighted co-citation degree: sum of co-citation edge weights connected to the reference.,degree = raw_degree / maximum raw_degree in the full cited-reference co-citation network.
"Leinonen J, 2023, Comparing Code Explanations Created by Students and Large Language Models, Annual Conference On Innovation And Technology In Computer Science Education, Iticse",10.1145/3587102.3588785,RData file,4037,0.7488406603598591,71,Weighted co-citation degree: sum of co-citation edge weights connected to the reference.,degree = raw_degree / maximum raw_degree in the full cited-reference co-citation network.
"Leinonen J, 2023, Using Large Language Models to Enhance Programming Error Messages, Proceedings Of The 54Th Acm Technical Symposium On Computer Science Education, Vol 1, Sigcse 2023",10.1145/3545945.3569770,RData file,4001,0.742162864032647,75,Weighted co-citation degree: sum of co-citation edge weights connected to the reference.,degree = raw_degree / maximum raw_degree in the full cited-reference co-citation network.
"Kazemitabaar M, 2023, Studying the effect of AI Code Generators on Supporting Novice Learners in Introductory Programming, Conference On Human Factors In Computing Systems - Proceedings",10.1145/3544548.3580919,RData file,3856,0.7152661843813763,76,Weighted co-citation degree: sum of co-citation edge weights connected to the reference.,degree = raw_degree / maximum raw_degree in the full cited-reference co-citation network.
"Denny P, 2023, Conversing with Copilot: Exploring Prompt Engineering for Solving CS1 Problems Using Natural Language, Sigcse 2023 - Proceedings Of The 54Th Acm Technical Symposium On Computer Science Education",10.1145/3545945.3569823,RData file,3838,0.7119272862177703,77,Weighted co-citation degree: sum of co-citation edge weights connected to the reference.,degree = raw_degree / maximum raw_degree in the full cited-reference co-citation network.
"Denny, 2024, Computing Education in the Era of Generative AI, Communications of the ACM",10.1145/3624720,Crossref DOI API,3824,0.7093303654238545,67,Weighted co-citation degree: sum of co-citation edge weights connected to the reference.,degree = raw_degree / maximum raw_degree in the full cited-reference co-citation network.
